Año,Periodo,Parámetro,Denuncias
2019,Trimestre 4,Agresión sexual con penetración,138
2019,Trimestre 4,Homicidios dolosos y asesinatos consumados,16
2019,Trimestre 4,Hurtos,111709
2019,Trimestre 4,Robos con fuerza en domicilios establecimientos y otras instalaciones,8784
2019,Trimestre 4,Robos con violencia e intimidación,10813
2019,Trimestre 4,Secuestro,9
2019,Trimestre 4,Sustracciones de vehículos,4981
2019,Trimestre 4,Total,252363
2019,Trimestre 4,Tráfico de drogas,1947
2020,Trimestre 4,Agresión sexual con penetración,132
2020,Trimestre 4,Homicidios dolosos y asesinatos consumados,16
2020,Trimestre 4,Hurtos,63107
2020,Trimestre 4,Robos con fuerza en domicilios establecimientos y otras instalaciones,5832
2020,Trimestre 4,Robos con violencia e intimidación,7575
2020,Trimestre 4,Secuestro,4
2020,Trimestre 4,Sustracciones de vehículos,3727
2020,Trimestre 4,Total,182241
2020,Trimestre 4,Tráfico de drogas,1825
2021,Trimestre 4,Agresión sexual con penetración,155
2021,Trimestre 4,Homicidios dolosos y asesinatos consumados,18
2021,Trimestre 4,Hurtos,73259
2021,Trimestre 4,Robos con fuerza en domicilios establecimientos y otras instalaciones,5904
2021,Trimestre 4,Robos con violencia e intimidación,8609
2021,Trimestre 4,Secuestro,9
2021,Trimestre 4,Sustracciones de vehículos,4302
2021,Trimestre 4,Total,202827
2021,Trimestre 4,Tráfico de drogas,1824